Date,Flight Number,From,To,Class,Price,Flow Card?,Bags Checked,Meal Type
2024-07-14,PA008,New York,Perth,First Class,556,No,3,Dairy Free
2024-07-30,PA010,New York,Tokyo,Business Class,328,No,0,Egg Free
2024-01-16,PA002,London,New York,First Class,421,Yes,1,Nut Free
2024-05-23,PA012,Perth,Tokyo,Economy,1780,Yes,1,Vegan
2024-05-22,PA012,Perth,Tokyo,First Class,251,No,0,Vegan
2024-08-10,PA008,New York,Perth,Premium Economy,1325,Yes,2,None
2024-02-27,PA004,London,Perth,Business Class,667,No,3,Egg Free
2024-08-07,PA009,Tokyo,New York,Economy,3270,No,0,Dairy Free
2024-08-09,PA002,London,New York,First Class,323,Yes,1,Nut Free
2024-05-05,PA004,London,Perth,Premium Economy,962,Yes,3,Vegan
2024-04-23,PA003,Perth,London,Premium Economy,1575,Yes,1,None
2024-05-20,PA002,London,New York,Premium Economy,1660,Yes,2,Nut Free
2024-06-14,PA004,London,Perth,Premium Economy,1080,Yes,1,Egg Free
2024-08-02,PA006,London,Tokyo,Business Class,540,No,2,Egg Free
2024-03-05,PA005,Tokyo,London,Business Class,709,No,0,Vegan
2024-01-29,PA001,New York,London,First Class,251,Yes,3,Dairy Free
2024-10-09,PA012,Perth,Tokyo,Economy,2285,Yes,1,Nut Free
2024-03-02,PA012,Perth,Tokyo,Business Class,752,Yes,2,Nut Free
2024-08-03,PA008,New York,Perth,Economy,2255,Yes,3,Dairy Free
2024-02-28,PA011,Tokyo,Perth,First Class,438,No,2,Dairy Free
2024-12-24,PA005,Tokyo,London,Business Class,597,No,3,None
2024-08-08,PA004,London,Perth,Premium Economy,1452,Yes,0,Dairy Free
2024-12-04,PA012,Perth,Tokyo,Premium Economy,1015,Yes,0,Vegan
2024-03-05,PA008,New York,Perth,Premium Economy,1377,No,0,Nut Free
2024-02-01,PA004,London,Perth,Economy,2520,Yes,0,Egg Free
2024-11-27,PA006,London,Tokyo,Premium Economy,1250,No,2,None
2024-06-17,PA009,Tokyo,New York,Economy,2790,No,0,Egg Free
2024-05-29,PA007,Perth,New York,Business Class,439,Yes,1,Nut Free
2024-05-06,PA007,Perth,New York,Premium Economy,710,No,2,None
2024-08-21,PA003,Perth,London,Economy,1220,Yes,3,Vegetarian
2024-11-04,PA011,Tokyo,Perth,Premium Economy,1520,No,2,None
2024-11-17,PA007,Perth,New York,Premium Economy,1255,No,0,Nut Free
2024-12-22,PA004,London,Perth,Economy,1395,No,3,Vegan
2024-03-03,PA005,Tokyo,London,Economy,1225,Yes,0,None
2024-05-22,PA003,Perth,London,Economy,3415,Yes,0,Nut Free
2024-02-19,PA005,Tokyo,London,Economy,2600,No,0,Dairy Free
2024-10-01,PA012,Perth,Tokyo,First Class,518,No,2,Nut Free
2024-08-08,PA004,London,Perth,First Class,604,Yes,2,Nut Free
2024-12-20,PA009,Tokyo,New York,Business Class,424,Yes,3,Egg Free
2024-06-14,PA011,Tokyo,Perth,Economy,1545,Yes,1,Nut Free
2024-02-08,PA010,New York,Tokyo,Economy,1895,No,3,Vegan
2024-06-12,PA001,New York,London,Premium Economy,1540,No,0,Vegan
2024-03-08,PA009,Tokyo,New York,Economy,2355,Yes,3,Vegan
2024-05-19,PA004,London,Perth,Premium Economy,1540,Yes,0,None
2024-01-25,PA010,New York,Tokyo,Economy,1200,No,2,Nut Free
2024-04-21,PA009,Tokyo,New York,Premium Economy,1315,Yes,2,Egg Free
2024-11-20,PA004,London,Perth,Business Class,818,Yes,1,Vegan
2024-07-17,PA004,London,Perth,Economy,1735,No,2,Vegetarian
2024-10-10,PA007,Perth,New York,Premium Economy,1110,Yes,3,None
2024-09-26,PA009,Tokyo,New York,Economy,1350,Yes,3,Vegetarian
2024-12-09,PA012,Perth,Tokyo,Premium Economy,1515,No,0,Egg Free
2024-02-13,PA005,Tokyo,London,Premium Economy,685,Yes,3,Nut Free
2024-01-09,PA010,New York,Tokyo,First Class,252,No,2,None
2024-01-27,PA010,New York,Tokyo,First Class,348,Yes,2,Dairy Free
2024-09-26,PA002,London,New York,Business Class,246,No,0,Vegetarian
2024-02-17,PA001,New York,London,Business Class,397,Yes,2,Vegan
2024-05-13,PA007,Perth,New York,First Class,205,No,3,Vegan
2024-01-31,PA005,Tokyo,London,Business Class,806,Yes,2,Nut Free
2024-02-26,PA003,Perth,London,Economy,2320,No,1,Egg Free
2024-06-11,PA012,Perth,Tokyo,Business Class,678,No,1,Vegan
2024-11-13,PA006,London,Tokyo,Premium Economy,1440,Yes,0,Vegan
2024-10-28,PA003,Perth,London,Premium Economy,557,No,3,Egg Free
2024-03-21,PA011,Tokyo,Perth,Premium Economy,502,Yes,0,Vegetarian
2024-09-06,PA002,London,New York,Business Class,320,No,3,Egg Free
2024-06-07,PA008,New York,Perth,Premium Economy,1572,Yes,2,Egg Free
2024-03-29,PA008,New York,Perth,First Class,240,No,2,Vegetarian
2024-07-18,PA006,London,Tokyo,Economy,1450,Yes,1,Vegan
2024-01-06,PA003,Perth,London,Business Class,324,Yes,2,Dairy Free
2024-02-02,PA003,Perth,London,Business Class,578,Yes,2,Nut Free
2024-12-29,PA011,Tokyo,Perth,Business Class,273,Yes,3,Egg Free
2024-09-23,PA009,Tokyo,New York,Business Class,619,Yes,3,Vegetarian
2024-02-25,PA002,London,New York,Premium Economy,725,Yes,1,Vegetarian
2024-08-27,PA010,New York,Tokyo,Business Class,639,No,2,Vegetarian
2024-09-29,PA007,Perth,New York,Premium Economy,1480,No,1,Dairy Free
2024-08-02,PA001,New York,London,Premium Economy,1077,No,1,Dairy Free
2024-04-04,PA012,Perth,Tokyo,Economy,2420,Yes,2,Vegan
2024-04-27,PA001,New York,London,Premium Economy,1045,Yes,0,Nut Free
2024-05-15,PA007,Perth,New York,Premium Economy,850,Yes,2,Vegan
2024-05-03,PA008,New York,Perth,Business Class,589,No,3,Nut Free
2024-09-28,PA010,New York,Tokyo,Business Class,396,Yes,3,None
2024-01-22,PA007,Perth,New York,Economy,1350,Yes,3,Vegan
2024-11-03,PA008,New York,Perth,Premium Economy,1205,No,0,Vegetarian
2024-09-18,PA006,London,Tokyo,Business Class,570,No,2,Egg Free
2024-06-01,PA009,Tokyo,New York,Economy,3270,No,3,Vegan
2024-03-18,PA004,London,Perth,Premium Economy,702,Yes,3,Vegan
2024-07-21,PA008,New York,Perth,First Class,543,Yes,2,Vegan
2024-07-15,PA012,Perth,Tokyo,Premium Economy,1422,Yes,2,Nut Free
2024-01-27,PA007,Perth,New York,Economy,2300,No,3,Nut Free
2024-07-26,PA005,Tokyo,London,First Class,578,Yes,1,Dairy Free
2024-02-24,PA005,Tokyo,London,Premium Economy,1560,Yes,3,Dairy Free
2024-03-02,PA012,Perth,Tokyo,Business Class,271,Yes,3,Egg Free
2024-12-20,PA006,London,Tokyo,Business Class,409,No,2,None
2024-11-05,PA005,Tokyo,London,Business Class,453,No,1,Vegetarian
2024-07-29,PA001,New York,London,Business Class,441,No,3,Nut Free
2024-12-05,PA002,London,New York,Business Class,732,No,1,None
2024-11-02,PA002,London,New York,Economy,2465,No,1,Egg Free
2024-08-22,PA007,Perth,New York,First Class,415,No,2,Vegetarian
2024-12-26,PA003,Perth,London,Premium Economy,787,Yes,2,Vegetarian
2024-10-07,PA008,New York,Perth,Economy,2235,No,1,Nut Free
2024-04-07,PA006,London,Tokyo,Economy,2885,Yes,1,Dairy Free
2024-10-22,PA004,London,Perth,First Class,548,No,0,Vegetarian
2024-01-19,PA010,New York,Tokyo,Business Class,728,Yes,1,Dairy Free
2024-02-11,PA009,Tokyo,New York,Premium Economy,1412,No,3,None
2024-08-29,PA008,New York,Perth,First Class,366,Yes,1,None
2024-11-12,PA002,London,New York,First Class,553,Yes,0,None
2024-04-20,PA003,Perth,London,Business Class,654,Yes,0,Vegetarian
2024-04-29,PA006,London,Tokyo,Economy,1450,No,1,Vegetarian
2024-10-14,PA007,Perth,New York,Economy,1170,Yes,3,Vegan
2024-09-14,PA004,London,Perth,Economy,2565,Yes,1,Dairy Free
2024-02-19,PA010,New York,Tokyo,Premium Economy,1297,Yes,2,None
2024-05-03,PA010,New York,Tokyo,Business Class,388,No,1,Dairy Free
2024-09-29,PA007,Perth,New York,Economy,1580,No,3,Vegetarian
2024-02-26,PA007,Perth,New York,First Class,255,No,2,None
2024-10-13,PA005,Tokyo,London,Business Class,409,No,1,Vegan
2024-08-17,PA009,Tokyo,New York,Economy,1125,Yes,0,Vegetarian
2024-10-08,PA005,Tokyo,London,First Class,239,Yes,3,None
2024-04-04,PA011,Tokyo,Perth,Premium Economy,1457,Yes,0,None
2024-11-28,PA010,New York,Tokyo,First Class,327,No,0,Vegetarian
2024-09-28,PA002,London,New York,Economy,1025,No,0,Vegan
2024-03-21,PA002,London,New York,Business Class,799,No,1,Vegetarian
2024-05-20,PA003,Perth,London,Economy,1935,Yes,0,Vegan
2024-10-16,PA012,Perth,Tokyo,Premium Economy,1012,No,2,Vegan
2024-05-05,PA007,Perth,New York,Economy,2995,No,1,Nut Free
2024-12-24,PA004,London,Perth,Business Class,819,No,3,None
2024-08-24,PA008,New York,Perth,Business Class,326,Yes,3,Dairy Free
2024-03-17,PA001,New York,London,Business Class,432,No,1,Vegetarian
2024-06-07,PA011,Tokyo,Perth,First Class,668,No,2,Nut Free
2024-11-24,PA009,Tokyo,New York,Premium Economy,570,No,2,Dairy Free
2024-10-27,PA006,London,Tokyo,Economy,2955,No,0,None
2024-05-31,PA008,New York,Perth,First Class,601,Yes,3,Vegan
2024-02-18,PA011,Tokyo,Perth,Premium Economy,595,Yes,1,Nut Free
2024-06-29,PA003,Perth,London,First Class,675,No,2,Egg Free
2024-03-25,PA007,Perth,New York,Economy,1930,No,2,Nut Free
2024-08-17,PA005,Tokyo,London,Economy,1895,Yes,0,Egg Free
2024-03-27,PA001,New York,London,Economy,1630,Yes,1,Nut Free
2024-11-28,PA006,London,Tokyo,Economy,1065,No,2,Vegetarian
2024-12-13,PA009,Tokyo,New York,Economy,1760,No,3,None
2024-05-26,PA010,New York,Tokyo,Economy,1815,No,3,Vegetarian
2024-07-15,PA011,Tokyo,Perth,Premium Economy,1147,No,1,Vegetarian
2024-05-18,PA009,Tokyo,New York,Premium Economy,1377,No,3,Dairy Free
2024-09-19,PA005,Tokyo,London,Economy,2605,No,0,Vegan
2024-01-07,PA002,London,New York,Premium Economy,1227,Yes,3,Vegan
2024-07-09,PA001,New York,London,Business Class,351,Yes,3,Vegan
2024-03-09,PA011,Tokyo,Perth,First Class,224,No,2,None
2024-01-04,PA007,Perth,New York,Business Class,756,No,2,Vegan
2024-12-26,PA011,Tokyo,Perth,First Class,328,No,2,Vegetarian
2024-12-11,PA001,New York,London,Premium Economy,997,No,2,Nut Free
2024-05-03,PA009,Tokyo,New York,Economy,3160,No,1,Dairy Free
2024-04-06,PA008,New York,Perth,Business Class,751,No,3,Egg Free
2024-11-23,PA011,Tokyo,Perth,Economy,2440,No,3,Nut Free
2024-10-19,PA006,London,Tokyo,First Class,256,No,3,Nut Free
2024-01-16,PA010,New York,Tokyo,Business Class,777,Yes,3,Nut Free
2024-09-05,PA002,London,New York,First Class,267,Yes,3,Dairy Free
2024-01-02,PA010,New York,Tokyo,Business Class,572,Yes,0,Vegan
2024-02-15,PA004,London,Perth,Economy,1460,No,2,Dairy Free
2024-11-16,PA011,Tokyo,Perth,Premium Economy,1180,Yes,0,None
2024-02-10,PA012,Perth,Tokyo,Economy,1745,Yes,2,Vegan
2024-01-15,PA002,London,New York,Economy,1560,No,0,Egg Free
2024-06-29,PA005,Tokyo,London,First Class,617,Yes,3,Nut Free
2024-01-05,PA004,London,Perth,Business Class,463,No,0,Nut Free
2024-03-10,PA002,London,New York,Premium Economy,725,Yes,1,Vegan
2024-08-19,PA010,New York,Tokyo,Business Class,452,Yes,0,Dairy Free
2024-03-06,PA003,Perth,London,First Class,629,No,0,Vegetarian
2024-10-14,PA010,New York,Tokyo,First Class,331,Yes,2,None
2024-08-14,PA011,Tokyo,Perth,Economy,1355,Yes,0,Vegetarian
2024-09-29,PA007,Perth,New York,Economy,3460,Yes,3,None
2024-06-21,PA005,Tokyo,London,First Class,238,Yes,3,Vegan
2024-05-08,PA005,Tokyo,London,First Class,671,No,1,Egg Free
2024-01-03,PA004,London,Perth,First Class,620,Yes,2,None
2024-03-08,PA007,Perth,New York,First Class,248,No,2,Nut Free
2024-12-11,PA005,Tokyo,London,First Class,237,No,0,Dairy Free
2024-01-06,PA006,London,Tokyo,First Class,222,No,2,Nut Free
2024-04-16,PA006,London,Tokyo,Business Class,410,No,0,Nut Free
2024-11-30,PA004,London,Perth,Economy,3225,Yes,2,None
2024-04-30,PA001,New York,London,Economy,2925,Yes,2,Vegetarian
2024-11-23,PA001,New York,London,Business Class,772,Yes,3,Dairy Free
2024-10-27,PA003,Perth,London,Premium Economy,1055,No,3,Nut Free
2024-08-23,PA003,Perth,London,Premium Economy,1237,No,0,Egg Free
2024-06-16,PA005,Tokyo,London,Economy,1445,No,3,Vegan
2024-07-03,PA003,Perth,London,Premium Economy,555,Yes,2,Egg Free
2024-07-27,PA011,Tokyo,Perth,Business Class,687,No,1,None
2024-12-26,PA012,Perth,Tokyo,First Class,690,No,2,Egg Free
2024-06-13,PA004,London,Perth,Premium Economy,1377,No,2,Nut Free
2024-11-05,PA002,London,New York,Premium Economy,1030,Yes,1,Egg Free
2024-12-05,PA001,New York,London,Economy,2335,No,3,Vegan
2024-04-02,PA008,New York,Perth,Business Class,466,No,3,Vegetarian
2024-06-26,PA003,Perth,London,Business Class,241,Yes,2,Vegetarian
2024-12-13,PA007,Perth,New York,Business Class,784,No,1,Vegan
2024-10-20,PA001,New York,London,First Class,579,No,1,Nut Free
2024-03-16,PA005,Tokyo,London,Business Class,734,Yes,2,Vegan
2024-01-06,PA001,New York,London,Business Class,727,Yes,2,Nut Free
2024-10-09,PA003,Perth,London,Economy,3220,No,1,None
2024-01-26,PA004,London,Perth,First Class,524,Yes,0,Egg Free
2024-08-25,PA011,Tokyo,Perth,Economy,2985,Yes,1,Vegetarian
2024-10-11,PA005,Tokyo,London,Economy,1675,Yes,3,Vegetarian
2024-03-30,PA012,Perth,Tokyo,Business Class,272,Yes,3,None
2024-05-07,PA010,New York,Tokyo,Economy,1610,No,2,None
2024-02-04,PA012,Perth,Tokyo,Business Class,712,No,2,Nut Free
2024-02-06,PA002,London,New York,Business Class,589,Yes,1,Vegetarian
2024-08-01,PA006,London,Tokyo,Business Class,789,Yes,0,None
2024-12-28,PA009,Tokyo,New York,Economy,2705,Yes,3,Dairy Free
2024-06-11,PA006,London,Tokyo,Business Class,711,No,2,Egg Free
2024-12-16,PA005,Tokyo,London,First Class,238,No,2,Egg Free
2024-08-06,PA012,Perth,Tokyo,Business Class,442,Yes,3,Nut Free
2024-08-09,PA001,New York,London,Premium Economy,657,No,0,Vegetarian
2024-11-17,PA012,Perth,Tokyo,Premium Economy,1585,Yes,1,Vegetarian
2024-05-25,PA004,London,Perth,First Class,212,No,1,None
2024-07-13,PA002,London,New York,First Class,664,No,0,Vegan
2024-08-17,PA003,Perth,London,Business Class,532,Yes,2,Nut Free
2024-09-22,PA011,Tokyo,Perth,Economy,2035,Yes,0,Vegetarian
2024-10-24,PA003,Perth,London,Premium Economy,1037,Yes,1,Nut Free
2024-03-31,PA004,London,Perth,Economy,1340,No,0,Dairy Free
2024-11-28,PA012,Perth,Tokyo,Business Class,588,Yes,2,Nut Free
2024-03-20,PA003,Perth,London,First Class,303,Yes,0,None
2024-08-13,PA004,London,Perth,Business Class,606,Yes,2,Dairy Free
2024-03-01,PA008,New York,Perth,First Class,471,Yes,2,Nut Free
2024-05-22,PA004,London,Perth,First Class,670,Yes,0,Dairy Free
2024-02-29,PA008,New York,Perth,Business Class,387,Yes,2,Egg Free
2024-11-11,PA003,Perth,London,Business Class,270,No,3,Nut Free
2024-01-22,PA006,London,Tokyo,Business Class,447,No,0,Vegetarian
2024-04-21,PA012,Perth,Tokyo,Economy,1375,No,1,None
2024-09-12,PA002,London,New York,Economy,1925,No,1,Dairy Free
2024-05-28,PA010,New York,Tokyo,Premium Economy,720,Yes,1,None
2024-08-31,PA007,Perth,New York,Business Class,710,No,3,Nut Free
2024-11-16,PA007,Perth,New York,Economy,3425,No,1,Nut Free
2024-10-16,PA001,New York,London,Premium Economy,662,Yes,0,Egg Free
2024-05-07,PA008,New York,Perth,First Class,644,No,1,None
2024-09-25,PA006,London,Tokyo,First Class,514,No,3,Dairy Free
2024-12-17,PA007,Perth,New York,Economy,1295,Yes,1,Vegan
2024-06-13,PA001,New York,London,Economy,2920,No,3,Dairy Free
2024-01-17,PA010,New York,Tokyo,Premium Economy,1255,No,1,None
2024-07-26,PA009,Tokyo,New York,First Class,225,Yes,2,Vegan
2024-02-26,PA006,London,Tokyo,Business Class,696,No,2,Vegan
2024-12-18,PA004,London,Perth,Economy,3170,No,2,Vegan
2024-12-28,PA008,New York,Perth,Premium Economy,542,Yes,2,None
2024-09-20,PA005,Tokyo,London,Economy,2355,Yes,3,Egg Free
2024-12-25,PA006,London,Tokyo,First Class,443,No,2,Dairy Free
2024-11-02,PA010,New York,Tokyo,Premium Economy,1695,No,2,None
2024-10-02,PA006,London,Tokyo,Business Class,706,Yes,1,Vegan
2024-04-02,PA003,Perth,London,First Class,667,Yes,1,Vegan
2024-02-22,PA005,Tokyo,London,Economy,3360,No,2,Egg Free
2024-02-09,PA010,New York,Tokyo,First Class,680,Yes,1,Egg Free
2024-06-22,PA011,Tokyo,Perth,Business Class,820,No,0,Vegetarian
2024-09-03,PA009,Tokyo,New York,Business Class,369,Yes,2,Nut Free
2024-08-31,PA011,Tokyo,Perth,First Class,284,Yes,3,Egg Free
2024-03-18,PA006,London,Tokyo,First Class,651,No,2,Vegan
2024-01-21,PA001,New York,London,Business Class,552,Yes,3,Dairy Free
2024-08-10,PA006,London,Tokyo,First Class,234,Yes,3,Egg Free
2024-12-16,PA012,Perth,Tokyo,Premium Economy,552,Yes,2,Dairy Free
2024-04-04,PA002,London,New York,Business Class,304,Yes,0,Vegan
2024-05-12,PA012,Perth,Tokyo,Premium Economy,1290,No,3,Vegetarian
2024-10-13,PA009,Tokyo,New York,First Class,410,Yes,0,Dairy Free
2024-07-23,PA004,London,Perth,Business Class,688,No,1,Egg Free
2024-11-21,PA005,Tokyo,London,Economy,1665,Yes,0,Nut Free
2024-05-16,PA007,Perth,New York,Business Class,676,No,1,Dairy Free
2024-06-23,PA001,New York,London,Premium Economy,582,Yes,3,Nut Free
2024-04-30,PA004,London,Perth,Business Class,240,No,1,Dairy Free
2024-09-06,PA011,Tokyo,Perth,Premium Economy,710,Yes,1,Vegetarian
2024-02-21,PA003,Perth,London,Business Class,436,Yes,0,Egg Free
2024-09-20,PA012,Perth,Tokyo,Economy,2635,No,3,Vegetarian
2024-08-05,PA010,New York,Tokyo,Premium Economy,555,No,0,None
2024-10-08,PA011,Tokyo,Perth,Premium Economy,1360,Yes,1,Dairy Free
2024-06-01,PA012,Perth,Tokyo,First Class,647,No,2,Vegan
2024-04-15,PA006,London,Tokyo,Business Class,568,No,3,Egg Free
2024-01-11,PA002,London,New York,Economy,2705,No,2,Nut Free
2024-11-11,PA008,New York,Perth,Premium Economy,1332,Yes,3,Nut Free
2024-11-21,PA012,Perth,Tokyo,First Class,555,Yes,0,Nut Free
2024-06-08,PA009,Tokyo,New York,First Class,589,Yes,0,Vegan
2024-02-07,PA012,Perth,Tokyo,Premium Economy,750,No,1,Nut Free
2024-04-03,PA007,Perth,New York,Premium Economy,997,No,0,Vegan
2024-11-26,PA012,Perth,Tokyo,First Class,495,Yes,1,Dairy Free
2024-05-26,PA002,London,New York,Economy,3405,Yes,3,Vegetarian
2024-03-06,PA004,London,Perth,Economy,1130,No,0,Egg Free
2024-04-17,PA006,London,Tokyo,Business Class,550,Yes,2,Egg Free
2024-08-30,PA008,New York,Perth,Business Class,602,Yes,0,Nut Free
2024-01-06,PA007,Perth,New York,Premium Economy,1192,Yes,3,Egg Free
2024-01-20,PA009,Tokyo,New York,First Class,256,No,2,Vegetarian
2024-08-04,PA007,Perth,New York,Premium Economy,1235,Yes,1,Vegetarian
2024-09-05,PA001,New York,London,Economy,1930,No,0,Dairy Free
2024-05-28,PA006,London,Tokyo,First Class,507,Yes,2,None
2024-07-01,PA006,London,Tokyo,Business Class,477,No,1,None
2024-04-02,PA011,Tokyo,Perth,First Class,506,Yes,2,Dairy Free
2024-11-09,PA001,New York,London,Economy,1370,Yes,2,Vegan
2024-10-09,PA006,London,Tokyo,First Class,514,Yes,1,None
2024-04-15,PA010,New York,Tokyo,Economy,2935,No,2,Dairy Free
2024-12-18,PA010,New York,Tokyo,Business Class,362,Yes,3,Egg Free
2024-05-09,PA010,New York,Tokyo,Business Class,246,No,1,Egg Free
2024-12-31,PA001,New York,London,Premium Economy,615,Yes,0,Egg Free
2024-01-17,PA003,Perth,London,First Class,563,No,0,Vegan
2024-04-27,PA012,Perth,Tokyo,Economy,3190,No,1,Vegan
2024-05-11,PA012,Perth,Tokyo,Economy,3190,No,0,Vegetarian
2024-10-18,PA007,Perth,New York,Business Class,555,No,2,Vegan
2024-08-21,PA010,New York,Tokyo,First Class,421,Yes,1,None
2024-03-07,PA003,Perth,London,Premium Economy,1330,No,0,Egg Free
2024-06-10,PA001,New York,London,Premium Economy,925,No,2,Nut Free
2024-06-13,PA008,New York,Perth,First Class,632,Yes,1,Vegan
2024-12-04,PA005,Tokyo,London,First Class,256,Yes,0,Egg Free
2024-04-12,PA010,New York,Tokyo,Business Class,778,No,0,Vegan
2024-11-03,PA012,Perth,Tokyo,Premium Economy,1087,Yes,0,Vegetarian
2024-07-26,PA007,Perth,New York,Business Class,424,Yes,1,Egg Free
2024-11-29,PA007,Perth,New York,Premium Economy,882,Yes,0,None
2024-04-15,PA006,London,Tokyo,Premium Economy,1355,Yes,3,None
2024-12-13,PA003,Perth,London,Business Class,364,Yes,0,Nut Free
2024-11-04,PA009,Tokyo,New York,Economy,2045,Yes,0,Dairy Free
2024-02-22,PA008,New York,Perth,Economy,2390,No,2,Nut Free
2024-08-20,PA009,Tokyo,New York,First Class,505,Yes,3,Vegan
2024-08-17,PA009,Tokyo,New York,Economy,2525,Yes,3,Nut Free
2024-04-02,PA002,London,New York,Business Class,525,No,1,Vegan
2024-03-11,PA006,London,Tokyo,Business Class,764,No,2,None
2024-05-23,PA011,Tokyo,Perth,Business Class,697,Yes,2,Dairy Free
2024-08-25,PA003,Perth,London,Premium Economy,1207,Yes,0,Dairy Free
2024-03-22,PA012,Perth,Tokyo,Economy,1030,No,1,Vegetarian
2024-09-11,PA011,Tokyo,Perth,Economy,2905,No,3,Egg Free
2024-05-02,PA008,New York,Perth,Economy,1255,No,3,Vegetarian
2024-11-08,PA009,Tokyo,New York,Premium Economy,670,Yes,2,Vegetarian
2024-01-27,PA011,Tokyo,Perth,Business Class,289,Yes,2,Dairy Free
2024-02-07,PA004,London,Perth,First Class,583,Yes,2,Egg Free
2024-03-29,PA003,Perth,London,Premium Economy,1700,No,2,Vegetarian
2024-12-29,PA002,London,New York,Premium Economy,740,Yes,2,None
2024-06-25,PA005,Tokyo,London,Premium Economy,1032,No,0,Vegan
2024-01-22,PA008,New York,Perth,First Class,230,No,2,None
2024-04-23,PA006,London,Tokyo,Business Class,483,No,1,Vegetarian
2024-09-25,PA012,Perth,Tokyo,First Class,485,Yes,0,Vegan
2024-04-24,PA007,Perth,New York,First Class,673,Yes,3,Vegan
2024-10-25,PA005,Tokyo,London,Economy,3125,No,1,Vegan
2024-11-17,PA001,New York,London,Economy,2100,No,3,Vegan
2024-12-05,PA008,New York,Perth,Business Class,734,Yes,2,Vegetarian
2024-10-23,PA009,Tokyo,New York,Premium Economy,1500,No,3,Egg Free
2024-11-11,PA004,London,Perth,Economy,3405,Yes,2,Egg Free
2024-12-02,PA008,New York,Perth,First Class,288,Yes,0,Vegetarian
2024-07-14,PA005,Tokyo,London,Economy,2290,Yes,1,Egg Free
2024-12-05,PA010,New York,Tokyo,Premium Economy,932,No,1,Vegetarian
2024-05-26,PA011,Tokyo,Perth,Premium Economy,1542,No,2,Vegan
2024-06-13,PA005,Tokyo,London,Economy,1480,No,2,Vegan
2024-01-10,PA002,London,New York,Economy,3305,Yes,0,None
2024-12-28,PA012,Perth,Tokyo,First Class,241,No,1,Dairy Free
2024-06-04,PA007,Perth,New York,First Class,252,No,0,Dairy Free
2024-08-23,PA003,Perth,London,Economy,2455,Yes,1,Dairy Free
2024-10-06,PA001,New York,London,Economy,1615,No,3,Vegan
2024-02-22,PA009,Tokyo,New York,Premium Economy,507,Yes,1,Nut Free
2024-05-28,PA007,Perth,New York,First Class,584,Yes,1,Dairy Free
2024-01-04,PA011,Tokyo,Perth,Business Class,692,Yes,1,Vegan
2024-05-05,PA008,New York,Perth,First Class,352,No,1,None
2024-04-02,PA004,London,Perth,First Class,280,Yes,2,Vegan
2024-12-29,PA002,London,New York,Business Class,643,No,1,Vegetarian
2024-09-25,PA004,London,Perth,Business Class,321,Yes,3,None
2024-07-30,PA001,New York,London,Premium Economy,560,Yes,1,Vegan
2024-07-08,PA003,Perth,London,Premium Economy,1657,No,0,Vegan
2024-05-03,PA002,London,New York,First Class,627,No,2,Vegetarian
2024-03-29,PA012,Perth,Tokyo,Premium Economy,1475,No,1,None
2024-12-19,PA006,London,Tokyo,Business Class,529,Yes,3,Vegan
2024-10-11,PA005,Tokyo,London,First Class,633,Yes,0,None
2024-02-16,PA010,New York,Tokyo,Business Class,594,Yes,3,Vegan
2024-06-15,PA009,Tokyo,New York,Business Class,453,Yes,1,Egg Free
2024-12-16,PA006,London,Tokyo,Business Class,410,No,2,Nut Free
2024-09-03,PA006,London,Tokyo,Premium Economy,1352,No,0,Dairy Free
2024-06-17,PA010,New York,Tokyo,Premium Economy,1175,No,2,Dairy Free
2024-09-01,PA002,London,New York,Premium Economy,1320,No,1,Vegan
2024-10-11,PA011,Tokyo,Perth,Business Class,450,No,2,None
2024-02-06,PA005,Tokyo,London,Business Class,465,No,0,None
2024-06-21,PA008,New York,Perth,Business Class,511,No,1,Vegan
2024-08-16,PA001,New York,London,Business Class,549,No,2,Vegetarian
2024-09-04,PA007,Perth,New York,Business Class,595,No,3,Vegan
2024-10-20,PA003,Perth,London,Business Class,656,Yes,1,None
2024-04-19,PA001,New York,London,Premium Economy,1287,Yes,0,Vegan
2024-06-21,PA007,Perth,New York,Economy,1955,No,2,Vegetarian
2024-10-07,PA010,New York,Tokyo,First Class,583,Yes,3,Dairy Free
2024-12-12,PA011,Tokyo,Perth,Economy,1165,Yes,3,Vegetarian
2024-12-09,PA007,Perth,New York,Premium Economy,1170,Yes,2,Egg Free
2024-06-12,PA002,London,New York,First Class,453,No,3,None
2024-04-13,PA009,Tokyo,New York,Economy,2110,Yes,3,Dairy Free
2024-09-10,PA008,New York,Perth,Economy,2570,No,3,Vegetarian
2024-04-17,PA004,London,Perth,First Class,597,No,3,None
2024-03-02,PA001,New York,London,Premium Economy,1022,No,3,Dairy Free
2024-07-16,PA005,Tokyo,London,Economy,3340,No,1,Dairy Free
2024-10-03,PA011,Tokyo,Perth,Business Class,776,No,3,Nut Free
2024-01-16,PA003,Perth,London,Premium Economy,867,Yes,1,Egg Free
2024-12-10,PA012,Perth,Tokyo,First Class,314,No,2,Vegetarian
2024-11-12,PA008,New York,Perth,Economy,2700,No,0,Vegetarian
2024-03-11,PA004,London,Perth,Business Class,804,Yes,2,Vegan
2024-11-04,PA001,New York,London,Business Class,448,No,3,None
2024-07-15,PA007,Perth,New York,Business Class,735,No,1,Nut Free
2024-06-13,PA009,Tokyo,New York,First Class,519,Yes,2,Nut Free
